"WORD","ANTONYM"
"old","new"
"get","set"
"pull","push"
"head","tail"
"east","west"
"north","south"
"fixed","fluid"
"fresh","stale"
"prefix","suffix"
"raster","vector"
"above","below"
"adult","child"
"advance","retreat"
"angel","devil"
"arrive","depart"
"black","white"
"clean","dirty"
"cool","warm"
"dawn","dusk"
"demand","supply"
"dwarf","giant"
"foreground","background"
"former","latter"
"gain","loss"
"give","take"
"granted","refused"
"hide","show"
"him","her"
"hunger","thirst"
"idle","busy"
"import","export"
"include","exclude"
"increase","decrease"
"inferior","superior"
"inhale","exhale"
"inner","outer"
"interior","exterior"
"internal","external"
"junior","senior"
"knowledge","ignorance"
"large","small"
"less","more"
"lofty","lowly"
"loose","tight"
"love","hate"
"major","minor"
"majority","minority"
"minimum","maximum"
"morning","evening"
"mother","father"
"notice","ignore"
"positive","negative"
"push","pull"
"rainy","sunny"
"raise","lower"
"real","fake"
"repair","damage"
"rich","poor"
"rural","urban"
"safety","danger"
"slow","fast"
"smile","frown"
"soft","hard"
"student","teacher"
"stupid","clever"
"success","failure"
"summer","winter"
"synonym","antonym"
"tame","wild"
"teach","learn"
"temporary","permanent"
"throw","catch"
"tiny","huge"
"wet","dry"
"work","rest"
